volume,vw,open,close,high,low,timestamp,n,timestamp.1,EMA_13,EMA_48,EMA_200
4017.0,509.2441,509.21,509.24,509.31,509.21,1709728200000,46.0,2024-03-06 07:30:00-05:00,509.1529863366965,509.0153042613056,508.3296494575106
4494.0,509.2728,509.21,509.3,509.3,509.21,1709728320000,51.0,2024-03-06 07:32:00-05:00,509.173988288597,509.026924495538,508.3393046867892
1606.0,509.2816,509.28,509.28,509.3,509.26,1709728440000,29.0,2024-03-06 07:34:00-05:00,509.1891328187974,509.03725410796494,508.3486648391594
3203.0,509.3107,509.29,509.33,509.33,509.29,1709728560000,43.0,2024-03-06 07:36:00-05:00,509.2092567018264,509.0492029198847,508.35842936812304
2039.0,509.3822,509.32,509.41,509.41,509.32,1709728680000,28.0,2024-03-06 07:38:00-05:00,509.2379343158512,509.0639293313179,508.368892757495
2204.0,509.4865,509.46,509.47,509.52,509.46,1709728800000,32.0,2024-03-06 07:40:00-05:00,509.271086556444,509.08050364432535,508.3798490484653
713.0,509.5106,509.52,509.52,509.52,509.52,1709728920000,11.0,2024-03-06 07:42:00-05:00,509.3066456198091,509.0984422710876,508.39119383405273
3256.0,509.4848,509.461,509.49,509.49,509.461,1709729040000,16.0,2024-03-06 07:44:00-05:00,509.3328391026935,509.1144242192064,508.4021272287388
2247.0,509.3909,509.44,509.37,509.44,509.37,1709729160000,42.0,2024-03-06 07:46:00-05:00,509.3381478023088,509.12485588372857,508.4117578035772
2098.0,509.3685,509.37,509.37,509.37,509.37,1709729280000,21.0,2024-03-06 07:48:00-05:00,509.3426981162647,509.1348617660253,508.4212925518003
178.0,509.3824,509.39,509.39,509.39,509.39,1709729400000,10.0,2024-03-06 07:50:00-05:00,509.3494555282269,509.1452755714936,508.430931431882
7113.0,509.481,509.42,509.44,509.5,509.42,1709729520000,42.0,2024-03-06 07:52:00-05:00,509.3623904527659,509.1573051400041,508.44097191514686
2724.0,509.4345,509.44,509.45,509.45,509.43,1709729640000,28.0,2024-03-06 07:54:00-05:00,509.3749061023708,509.16925186898345,508.4510119955932
415.0,509.4524,509.44,509.44,509.44,509.44,1709729760000,9.0,2024-03-06 07:56:00-05:00,509.3842052306036,509.18030281310655,508.460852672254
4860.0,509.4503,509.45,509.45,509.45,509.45,1709729880000,48.0,2024-03-06 07:58:00-05:00,509.3936044833745,509.19131086155113,508.4706949342217
47357.0,509.2276,508.8511,509.5,509.52,507.69,1709730000000,695.0,2024-03-06 08:00:00-05:00,509.4088038428925,509.2039104182225,508.4809367756722
21454.0,509.4103,509.52,508.73,509.7,507.59,1709730120000,241.0,2024-03-06 08:02:00-05:00,509.3118318653365,509.184567135846,508.4834150167103
21517.0,508.3606,509.67,507.86,509.75,507.51,1709730240000,255.0,2024-03-06 08:04:00-05:00,509.1044273131456,509.1305031711176,508.47721188221567
3141.0,508.6058,507.69,509.62,509.7,507.62,1709730360000,128.0,2024-03-06 08:06:00-05:00,509.1780805541248,509.1504826335209,508.4885829082633
4218.0,509.5472,509.58,509.61,509.61,509.52,1709730480000,44.0,2024-03-06 08:08:00-05:00,509.239783332107,509.1692384443976,508.4997412872856
1817.0,509.6706,509.63,509.69,509.71,509.63,1709730600000,44.0,2024-03-06 08:10:00-05:00,509.30409999894886,509.1904940180957,508.5115846575614
2089.0,509.6911,509.71,509.67,509.71,509.67,1709730720000,49.0,2024-03-06 08:12:00-05:00,509.35637142767047,509.2100656908264,508.5231111783817
7850.0,509.73,509.65,509.75,509.84,509.65,1709730840000,99.0,2024-03-06 08:14:00-05:00,509.4126040808604,509.2321038258947,508.535319027353
22553.0,509.8814,509.73,509.86,509.97,509.73,1709730960000,138.0,2024-03-06 08:16:00-05:00,509.47651778359466,509.25773224116426,508.5484999325536
33698.0,509.859,509.84,509.85,509.9,509.81,1709731080000,103.0,2024-03-06 08:18:00-05:00,509.5298723859383,509.2819064354025,508.56145018198094
47130.0,509.935,509.91,509.94,509.98,509.88,1709731200000,159.0,2024-03-06 08:20:00-05:00,509.58846204509,509.3087673972228,508.5751670955931
6797.0,509.9622,509.9306,509.99,509.99,509.9,1709731320000,90.0,2024-03-06 08:22:00-05:00,509.6458246100771,509.33657280958096,508.58924503494046
15865.0,509.9316,509.98,510.0,510.0,509.88,1709731440000,141.0,2024-03-06 08:24:00-05:00,509.6964210943518,509.3636514704144,508.60328239777687
13241.0,509.9468,510.01,509.96,510.03,509.91,1709731560000,88.0,2024-03-06 08:26:00-05:00,509.7340752237302,509.387992226724,508.616782075411
27225.0,509.7649,509.86,509.75,509.87,509.7312,1709731680000,129.0,2024-03-06 08:28:00-05:00,509.7363501917688,509.40276805420456,508.62805787565566
86515.0,509.7571,509.76,509.8,510.06,509.28,1709731800000,499.0,2024-03-06 08:30:00-05:00,509.7454430215161,509.4189816030125,508.6397189913208
67892.0,509.6662,509.8,509.62,509.94,509.41,1709731920000,238.0,2024-03-06 08:32:00-05:00,509.727522589871,509.4271864355426,508.6494730312082
56158.0,509.7275,509.65,509.8,509.92,509.61,1709732040000,203.0,2024-03-06 08:34:00-05:00,509.73787650560377,509.4424033157245,508.6609210607484
18094.0,509.8843,509.83,509.89,510.0,509.73,1709732160000,215.0,2024-03-06 08:36:00-05:00,509.7596084333746,509.4606725681439,508.673150701935
4638.0,509.7957,509.81,509.86,509.9,509.75,1709732280000,65.0,2024-03-06 08:38:00-05:00,509.7739500857497,509.4769716469952,508.6849601476869
23303.0,509.9887,509.84,509.97,510.03,509.84,1709732400000,149.0,2024-03-06 08:40:00-05:00,509.8019572163569,509.4970952532402,508.69774661387913
10622.0,510.0588,509.99,510.0,510.08,509.99,1709732520000,132.0,2024-03-06 08:42:00-05:00,509.8302490425917,509.51762197759774,508.7107043590147
15402.0,509.8969,509.99,509.83,509.99,509.83,1709732640000,84.0,2024-03-06 08:44:00-05:00,509.8302134650786,509.5303721009611,508.7218416290743
27894.0,510.1107,509.82,510.09,510.2,509.82,1709732760000,214.0,2024-03-06 08:46:00-05:00,509.8673258272103,509.5532140560239,508.7354551452029
6282.0,510.129,510.08,510.17,510.1899,510.08,1709732880000,104.0,2024-03-06 08:48:00-05:00,509.91056499475167,509.5783889925127,508.7497292233601
24264.0,510.2238,510.2,510.209,510.27,510.14,1709733000000,182.0,2024-03-06 08:50:00-05:00,509.9531985669301,509.604128217308,508.7642493305904
15231.0,510.1865,510.19,510.16,510.21,510.14,1709733120000,83.0,2024-03-06 08:52:00-05:00,509.9827416287972,509.6268168614995,508.7781373969527
10611.0,510.2378,510.18,510.25,510.28,510.18,1709733240000,109.0,2024-03-06 08:54:00-05:00,510.02092139611193,509.6522529079689,508.792782795988
10019.0,510.2956,510.26,510.29,510.34,510.26,1709733360000,117.0,2024-03-06 08:56:00-05:00,510.0593611966674,509.6782834015211,508.80768047961
5811.0,510.2912,510.32,510.31,510.32,510.28,1709733480000,80.0,2024-03-06 08:58:00-05:00,510.0951667400007,509.7040677524794,508.82262893254926
18478.0,510.3055,510.3,510.32,510.36,510.25,1709733600000,166.0,2024-03-06 09:00:00-05:00,510.1272857771434,509.72920784421495,508.8375281471508
18597.0,510.2206,510.31,510.23,510.32,510.19,1709733720000,185.0,2024-03-06 09:02:00-05:00,510.1419592375516,509.7496483403695,508.8513835884728
11776.0,510.1521,510.15,510.19,510.21,510.1311,1709733840000,81.0,2024-03-06 09:04:00-05:00,510.1488222036156,509.7676218774972,508.8647031547566
11755.0,510.2805,510.19,510.27,510.32,510.19,1709733960000,102.0,2024-03-06 09:06:00-05:00,510.1661333173848,509.78812710698713,508.87868620794313
17654.0,510.2994,510.27,510.24,510.33,510.24,1709734080000,125.0,2024-03-06 09:08:00-05:00,510.1766857006156,509.80657089853867,508.8922316188094
