what_type_of_candle,time_entered,ema_distance,num_of_matches,line_degree_angle,ticker_symbol,strike_price,option_type,order_quantity,order_bid_price,total_investment,time_exited,lowest_bid,max_drawdown,highest_bid,max_gain,avg_sold_bid,total_profit,total_percentage
PDHL_1 PDL,11/14/2024-02:22 PM,0.2630074168509964,0,7.243455610878428,SPY,593.0,put,174,0.25,4350.0,11/14/2024-02:24:04 PM,0.12,52.0,0.26,4.000000000000004,0.12,-2262.0,-52.0
PDHL_1 PDL,11/14/2024-02:32 PM,0.2651935903751337,1,4.94041870392075,SPY,594.0,put,76,0.58,4349.999999999999,11/14/2024-02:59:01 PM,0.44,24.137931034482754,1.29,122.41379310344828,0.7479999999999999,1260.0,28.96551724137932
resistance_3 Buffer,11/15/2024-09:50 AM,0.0913704728835682,0,6.447075002861778,SPY,585.0,put,86,0.49,4263.0,11/15/2024-10:12:03 AM,0.31,36.734693877551024,0.66,34.69387755102042,0.5529885057471264,548.0,12.854797091250294
resistance_3 Buffer,11/15/2024-10:36 AM,0.4471370519277116,1,3.776909082591256,SPY,585.0,put,91,0.47,4277.0,11/15/2024-10:48:02 AM,0.39,17.021276595744673,0.73,55.319148936170215,0.5667032967032967,880.0,20.575169511339723
PDHL_5 PDL,11/15/2024-12:42 PM,0.1576298412932146,0,7.125016348901798,SPY,584.0,put,110,0.39,4290.0,11/15/2024-01:02:02 PM,0.37,5.128205128205133,0.85,117.94871794871791,0.4896363636363636,1096.0,25.547785547785544
PDHL_5 PDL,11/15/2024-01:04 PM,0.2477670582046585,1,14.305551845828658,SPY,583.0,put,143,0.3,4290.0,11/15/2024-01:10:02 PM,0.14,53.333333333333336,0.27,-9.999999999999991,0.19,-1573.0,-36.66666666666666
PDHL_1 PDH,11/19/2024-12:44 PM,0.4436139824406382,0,-0.2864765072089021,SPY,590.0,call,71,0.61,4331.0,11/19/2024-01:18:02 PM,0.58,4.9180327868852505,1.28,109.8360655737705,0.7725352112676056,1154.0,26.645116601246823
PDHL_1 PDH,11/19/2024-02:18 PM,0.2101172380703246,1,-1.025484936118872,SPY,590.0,call,161,0.27,4347.0,11/19/2024-02:32:12 PM,0.15,44.44444444444445,0.27,0.0,0.17,-1610.0,-37.03703703703704
PDHL_1 PDH,11/21/2024-10:42 AM,0.1869807952523388,0,-21.3057836175586,SPY,594.0,call,80,0.54,4320.0,11/21/2024-10:48:02 AM,0.34,37.03703703703704,0.57,5.555555555555539,0.34,-1600.0,-37.03703703703704
resistance_1 Buffer,11/25/2024-10:08 AM,0.1774449356092873,0,1.3645274328289296,SPY,597.0,put,90,0.47,4230.0,11/25/2024-10:12:06 AM,0.38,19.14893617021276,0.58,23.40425531914893,0.5516666666666666,735.0,17.375886524822697
resistance_1 Buffer,11/25/2024-10:16 AM,0.1136475787379822,1,20.80679101221581,SPY,597.0,put,94,0.45,4230.0,11/25/2024-10:20:06 AM,0.34,24.44444444444444,0.46,2.222222222222224,0.35,-940.0,-22.22222222222222
PDHL_1 PDH,11/25/2024-01:32 PM,0.2350027266563756,0,3.0052693602664213,SPY,597.0,put,78,0.53,4240.0,11/25/2024-01:42:02 PM,0.42,20.75471698113208,0.61,15.0943396226415,0.42,-880.0,-20.75471698113208
PDHL_1 PDH,11/25/2024-02:14 PM,0.2045112291418718,1,10.203973721344038,SPY,597.0,put,86,0.5,4200.0,11/25/2024-02:16:03 PM,0.34,32.0,0.48,-4.000000000000004,0.34,-1344.0,-32.0
,11/27/2024-11:16 AM,0.0877640289290866,0,18.952471548722915,SPY,597.0,put,114,0.36,4104.0,11/27/2024-11:22:03 AM,0.27,25.0,0.39,8.333333333333341,0.28,-912.0,-22.22222222222222
PDHL_1 PDL,11/27/2024-11:44 AM,0.060212991872163,0,2.176192550218629,SPY,597.0,put,128,0.32,4096.0,11/27/2024-11:48:02 AM,0.23,28.125,0.33,3.1250000000000027,0.23,-1152.0,-28.125
PDHL_1 PDH,11/29/2024-09:24 AM,0.2145492339831207,0,-5.142764557685746,SPY,602.0,call,111,0.36,3996.0,11/29/2024-09:48:02 AM,0.26,27.77777777777777,0.47,30.55555555555556,0.4205405405405405,672.0,16.816816816816818
PDHL_1 PDH,11/29/2024-09:54 AM,0.0649263920023486,1,-2.569015858166935,SPY,602.0,call,111,0.36,3996.0,11/29/2024-10:36:02 AM,0.34,5.555555555555546,0.66,83.33333333333334,0.4533333333333333,1036.0,25.925925925925924
PDHL_1 PDH,12/02/2024-10:58 AM,0.0717535947704846,0,-13.766300686787662,SPY,604.0,call,114,0.36,4104.0,12/02/2024-11:20:03 AM,0.34,5.555555555555546,0.49,36.11111111111112,0.4349999999999999,855.0,20.833333333333336
PDHL_1 PDH,12/02/2024-11:24 AM,0.0697681414764019,1,-1.177180750925323,SPY,604.0,call,91,0.45,4095.0,12/02/2024-11:30:02 AM,0.28,37.77777777777777,0.47,4.444444444444437,0.31,-1274.0,-31.11111111111111
